model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
Qwen/Qwen2.5-14B,top_k,1.0,0.65,0.0,65,0,100,137,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,2.0,0.75,0.0,75,0,100,201,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,3.0,0.8,0.0,80,0,100,249,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,4.0,0.81,0.0,81,0,100,277,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,5.0,0.85,0.0,85,0,100,308,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,6.0,0.89,0.0,89,0,100,326,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,7.0,0.93,0.0,93,0,100,344,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,8.0,0.94,0.0,94,0,100,361,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,9.0,0.96,0.0,96,0,100,378,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,10.0,0.97,0.0,97,0,100,394,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,11.0,0.97,0.0,97,0,100,405,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,12.0,0.97,0.0,97,0,100,423,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,13.0,0.97,0.0,97,0,100,434,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,14.0,0.97,0.0,97,0,100,442,1000,results/audit.qwen25-14b-base.jsonl
Qwen/Qwen2.5-14B,top_k,15.0,0.97,0.0,97,0,100,453,1000,results/audit.qwen25-14b-base.jsonl
