temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
0.7,google/gemma-3-12b-it,top_k,1.0,0.44,0.0,44,0,100,66,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,2.0,0.48,0.0,48,0,100,77,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,3.0,0.54,0.02,54,2,100,87,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,4.0,0.54,0.02,54,2,100,92,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,5.0,0.57,0.02,57,2,100,100,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,6.0,0.6,0.02,60,2,100,108,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,7.0,0.63,0.02,63,2,100,114,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,8.0,0.64,0.02,64,2,100,119,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,9.0,0.65,0.02,65,2,100,125,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,10.0,0.66,0.02,66,2,100,131,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,11.0,0.67,0.02,67,2,100,134,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,12.0,0.67,0.03,67,3,100,138,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,13.0,0.67,0.03,67,3,100,140,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,14.0,0.68,0.03,68,3,100,141,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,15.0,0.68,0.03,68,3,100,144,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,16.0,0.69,0.04,69,4,100,147,500,/home/jovyan/WCS/WCS/results/eminem_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
