temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
0.7,google/gemma-3-12b-it,top_k,1.0,0.56,0.02,56,2,100,127,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,2.0,0.57,0.02,57,2,100,138,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,3.0,0.61,0.04,61,4,100,150,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,4.0,0.62,0.04,62,4,100,162,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,5.0,0.64,0.05,64,5,100,169,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,6.0,0.67,0.05,67,5,100,177,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,7.0,0.7,0.06,70,6,100,183,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,8.0,0.71,0.06,71,6,100,189,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,9.0,0.73,0.06,73,6,100,199,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,10.0,0.74,0.06,74,6,100,202,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,11.0,0.74,0.06,74,6,100,207,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,12.0,0.74,0.07,74,7,100,209,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,13.0,0.74,0.07,74,7,100,211,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,14.0,0.74,0.07,74,7,100,215,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,15.0,0.75,0.08,75,8,100,218,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,16.0,0.76,0.08,76,8,100,221,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,17.0,0.76,0.08,76,8,100,223,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,18.0,0.76,0.08,76,8,100,226,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,19.0,0.76,0.1,76,10,100,230,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,20.0,0.76,0.11,76,11,100,232,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.5,0.04,0.0,4,0,100,5,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.55,0.05,0.0,5,0,100,6,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.6,0.07,0.0,7,0,100,11,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.65,0.08,0.0,8,0,100,12,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.7,0.13,0.0,13,0,100,18,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.75,0.16,0.0,16,0,100,22,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.8,0.19,0.0,19,0,100,27,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.85,0.23,0.0,23,0,100,34,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.9,0.29,0.0,29,0,100,42,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.95,0.36,0.0,36,0,100,62,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.99,0.51,0.0,51,0,100,98,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,min_p,0.01,0.65,0.04,65,4,100,165,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,min_p,0.02,0.64,0.03,64,3,100,155,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,min_p,0.03,0.62,0.03,62,3,100,151,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,min_p,0.04,0.62,0.03,62,3,100,150,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,min_p,0.05,0.61,0.02,61,2,100,146,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,min_p,0.06,0.61,0.02,61,2,100,145,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,min_p,0.07,0.61,0.02,61,2,100,145,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,min_p,0.08,0.61,0.02,61,2,100,145,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,min_p,0.09,0.6,0.02,60,2,100,140,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,min_p,0.1,0.6,0.02,60,2,100,139,500,results/taylorswift_100x5_multi_t/t0p7/audit.gemma3-12b-it.jsonl
