temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
0.7,google/gemma-3-12b-it,top_k,1.0,0.11,0.0,11,0,100,13,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,2.0,0.22,0.0,22,0,100,28,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,3.0,0.25,0.0,25,0,100,35,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,4.0,0.35,0.0,35,0,100,51,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,5.0,0.36,0.0,36,0,100,62,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,6.0,0.37,0.0,37,0,100,68,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,7.0,0.41,0.0,41,0,100,79,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,8.0,0.42,0.0,42,0,100,82,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,9.0,0.43,0.0,43,0,100,87,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,10.0,0.45,0.0,45,0,100,91,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,11.0,0.47,0.0,47,0,100,94,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,12.0,0.49,0.0,49,0,100,103,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,13.0,0.52,0.0,52,0,100,111,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,14.0,0.55,0.0,55,0,100,117,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,15.0,0.56,0.0,56,0,100,121,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,16.0,0.56,0.0,56,0,100,124,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,17.0,0.58,0.0,58,0,100,132,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,18.0,0.58,0.0,58,0,100,133,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,19.0,0.58,0.0,58,0,100,136,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_k,20.0,0.59,0.0,59,0,100,137,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.5,0.05,0.0,5,0,100,5,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.55,0.06,0.0,6,0,100,6,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.6,0.07,0.0,7,0,100,7,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.65,0.1,0.0,10,0,100,10,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
0.7,google/gemma-3-12b-it,top_p,0.7,0.1,0.0,10,0,100,10,1000,/home/jovyan/WCS/WCS/results/spanish_gutenberg_100x10_multi_t/t0p7/audit.gemma3-12b-it.jsonl
